name,date,type,duration,caloriesBurned,targetPace,gymType,isCompleted,actualDuration,rpe,notes,totalWeightLifted,distance
Push,2026-07-06,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. 8–12 hard sets, 1–2 reps in reserve.",,
Easy run,2026-07-06,running,42,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Shake out from the weekend.",,7
VO2 6×800m,2026-07-07,running,55,,Intervals 4:20–4:30/km,,0,,,"VO2 intervals — hard but smooth, around 3–5k effort. Sharpens top-end fitness and running economy so race pace feels easier. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 6×800 m at interval pace 4:20–4:30/km, with 2:00 easy jog between reps.",,10
Legs,2026-07-08,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. 8–12 hard sets, 1–2 reps in reserve.",,
Easy bike (cross-train),2026-07-08,cycling,50,,,,0,,,"Easy 45–60 min spin, low impact after Legs.",,
Pull,2026-07-09,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. 8–12 hard sets, 1–2 reps in reserve.",,
Tempo 20 min,2026-07-09,running,55,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 20 min continuous at threshold 4:45–4:55/km. Hold one steady, even effort.",,10
Rest,2026-07-10,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 18k,2026-07-11,running,108,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Run the last 3 km at a comfortably-strong steady effort.",,18
Recovery run,2026-07-12,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-07-13,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. 8–12 hard sets, 1–2 reps in reserve.",,
